Evidence Reference,Question,Tips,Compliant,Evidence/Answer
1.1.1,State your organisation's Information Commissioner's Office (ICO) registration number.,"You can check your registration status, date for renewal and what your ICO registration number is on the [Information Commissioner's Office website](https://ico.org.uk/esdwebpages/search)

You must provide your organisation's Information Commissioner's Office (ICO) registration number as evidence that you hold a current registration with the ICO and have paid the data protection fee. This is a legal requirement for all health and care organisations (controllers) who process personal information.",, 
1.1.2,"Your organisation has documented what personal data you hold, where it came from, who you share it with and what you do with it.","You should document your information assets and flows in a combined register, which should have been reviewed and approved by relevant group/person with delegated responsibility since 1st July 2022. You may previously have captured these in separate records of processing activities (ROPA) and information asset and data flows registers (IAR). 

Details of who conducted the register review and approval, along with when it occurred, should be submitted in the comment box.

[Further information on what should be included is available](https://www.dsptoolkit.nhs.uk/Help/88)",, 
1.1.3,Transparency information (e.g. your Privacy Notice and Rights for individuals) is published and available to the public.,"You must display transparency information so that people understand how their data is used and shared. If possible, provide a web link or another publicly available document, and detail how printed materials are made available to people if relevant (for example, patient information leaflets provided to patients upon admission to the service). 

[Guidance on privacy notices is available at the Information Commissioner's Office website](https://ico.org.uk/for-organisations/guide-to-data-protection/guide-to-the-general-data-protection-regulation-gdpr/the-right-to-be-informed/what-privacy-information-should-we-provide/)",, 
1.1.4,"Your business has identified, documented and classified its hardware and software assets and assigned ownership of protection responsibilities.","The Information Asset Register should have been reviewed and approved since 1st July 2022  by the SIRO or equivalent, details of this should be recorded in the comments. 

[Further information is available from the National Cyber Security Centre](https://www.ncsc.gov.uk/guidance/asset-management)

Upload the document(s), provide a screenshot if it included in a system or a link to the document or specify where it is held.",, 
1.1.5,List the names and job titles of your organisation's key staff with responsibility for data protection and data security.,"Organisations will require, at minimum, a Data Protection Officer (DPO), a Senior Information Risk Officer (SIRO), a Caldicott Guardian, a Head of IT and a Cyber Security Lead. Along with listing names and job titles, you should be able to explain how these specialised roles are situated in your organisational structure.",, 
1.1.6,Your organisation has reviewed how it asks for and records consent to share personal data.,"NHS organisations may require patient consent under data protection legislation for activities such as patient mailing lists. More commonly, patient consent is required under the common law duty of confidentiality. This would apply in situations when a patient's data is used in ways they would not reasonably expect, for example, when used for research purposes. Consent is also required when sharing confidential patient information with a third party, such as a carer or family member. Please provide details of all your organisation's activities in the comments. 

Consent should be covered in general data protection and confidentiality policies or a separate consent policy in line with  [Information Commissioner's Office guidance](https://ico.org.uk/for-organisations/guide-to-data-protection/guide-to-the-general-data-protection-regulation-gdpr/lawful-basis-for-processing/consent/).  You should ensure that you clearly differentiate between consent under data protection legislation and consent under the common law duty of confidentiality.",, 
1.1.7,Data quality metrics and reports are used to assess and improve data quality.,Published data quality metrics and reports such as the Data Quality Maturity Index (DQMI) are reviewed and actioned in a timely manner to continually improve data quality.,, 
1.1.8,A data quality forum monitors the effectiveness of data quality assurance processes.,[Guidance is available on establishing internal data quality assurance processes and undertaking Clinical Coding Audits](https://www.dsptoolkit.nhs.uk/Help/23).,, 
1.2.2,Your organisation has processes in place to deliver individuals rights including to handle an individual's objection to the processing of their personal data.,Further guidance is available on the [ICO website](https://ico.org.uk/for-organisations/guide-to-data-protection/guide-to-the-general-data-protection-regulation-gdpr/individual-rights/),, 
1.2.3,Your organisation has a process to recognise and respond to individuals' requests to access their personal data.,Use the comments box to provide evidence of the number of Subject Access Requests your organisation has received and show that they have been responded to within the required timescale. You must note if any requests were answered late.,, 
1.2.4,Your organisation is compliant with the national data opt-out policy.,"Please provide a link to your published [compliance statement](https://digital.nhs.uk/services/national-data-opt-out-programme/compliance-with-the-national-data-opt-out) in the comments box, which might be within a privacy notice or a published data release register.",, 
1.3.1,There are board-approved data security and protection policies in place that follow relevant guidance.,"You should have policies and staff guidance in place communicating your organisation's principles and procedures for data protection. These should be updated every three years at the minimum, and locally maintain evidence of when each update was made.",, 
1.3.2,Your organisation monitors your own compliance with data protection policies and regularly reviews the effectiveness of data handling and security controls.,"You should regularly check that your policy-based procedures are fit for purpose, and that your staff understand them. 

You should locally maintain evidence that; spot checks have been carried out on an annual basis at minimum, one has been done since 1st July 2022, details of any actions arising from the spot checks are recorded including who is responsible for taking them forward.

The checks can be done as part of other audits you carry out and can include [staff awareness questions](https://www.dsptoolkit.nhs.uk/Help/21) through the Data Security Awareness training or local materials.",, 
1.3.3,SIRO responsibility for data security has been assigned.,"There is a board-level individual who has overall accountability for the security of networks and information systems and drives regular discussion at board-level. The SIRO responsibility is included in their job description/role and responsibilities document.
",, 
1.3.4,There are clear documented lines of responsibility and accountability to named individuals for data security and data protection.,"Lines of responsibility should be evidenced in an agreed document, such as an Information Governance framework, which sets out key staff members' responsibilities and accountabilities.",, 
1.3.5,Your organisation operates and maintains a data security and protection risk register (including risks from supply chain) which links to the corporate risk framework providing senior visibility.,"Describe your organisation's approach to information risk management. This should include details of the senior staff member with responsibility for managing information risks, who coordinates procedures put in place to mitigate them. It should be reviewed regularly.

Further guidance is available from the [National Cyber Security Centre.](https://www.ncsc.gov.uk/collection/risk-management-collection)",, 
1.3.6,List your organisation's top three data security and protection risks.,"This should be fed from the organisations data security risk management framework.

Record at a heading level",, 
1.3.7,Your organisation has implemented appropriate technical and organisational measures to integrate data protection into your processing activities.,"Your data protection procedures should be approved by the Board or equivalent.

The procedures should, at a minimum, ensure that the UK GDPR principles and
appropriate measures to protect personal data are built into your organisation's processing activities and business practices by default. They should be enforced all the way through the lifecycle of your projects and processes, from beginning to end. ",, 
1.3.8,"Your organisation understands when you must conduct a Data Protection Impact Assessment and has processes in place, which links to your existing risk management and project management, to action this.","The organisation should have an approved DPIA Procedure or equivalent.
The procedure should follow the [Information commissioner's office guidance](https://ico.org.uk/for-organisations/guide-to-the-general-data-protection-regulation-gdpr/accountability-and-governance/data-protection-impact-assessments/).",, 
1.3.9,Data security and protection direction is set at board level and translated into effective organisational practices.,"This should be evidenced by discussion of data security at Board and reports on data security to the Board. 

Groups established with delegated responsibility for data security should have documented delegated authority and the ability to escalate issues to the board.. ",, 
1.4.1,The organisation has a records management policy including a records retention schedule.,"You should have a records management policy which sets out responsibilities and covers the whole record lifecycle. This should include secure storage, tracking, transfer and disposal. 

The retention schedule is based on business need with reference to statutory requirements and the [NHS Records Management Code of Practice](https://www.nhsx.nhs.uk/information-governance/guidance/records-management-code/)",, 
2.1.1,There is a data protection and security induction in place for all new entrants to the organisation.,The induction can be delivered face to face or digitally. Records are maintained and the induction is reviewed on a regular basis to ensure its effectiveness.,, 
2.2.1,All employment contracts contain data security requirements.,"Please provide any explanatory text in the comments box.

The text of the contract should go beyond confidentiality agreements and include, for example, requirements to follow the relevant IT security policies and procedures.",, 
3.1.1,An approved organisation-wide data security and protection training needs analysis including the data security awareness programme has been completed since 1 July 2022.,"This is a documented assessment of data security and protection training (including records management and Subject access requests), awareness campaign and development needs for all your staff including Board Members. It is used as the data security training plan for the organisation. Approved by your SIRO or equivalent.",, 
3.2.1,"At least 95% of all staff, have completed their annual Data Security Awareness Training since 1st July 2022.","Please provide your highest percentage figure for the period 1st July 2022 - 30th June 2023 in the space below with an explanation of how you have calculated the figure.

This can be calculated from local materials/E Learning system and/or the national Data Security Awareness E-Learning system. If using local training it must cover the areas included in https://portal.e-lfh.org.uk/Component/Details/544182

All staff, which includes new starters, locums, temporary, students and staff contracted to work in the organisation have completed their annual Data Security Awareness Training (including passing a mandatory test).",, 
3.3.1,"Provide details of any specialist data protection training undertaken by staff in Records Management, Clinical Coding, Freedom of Information and Information Governance (including privacy / confidentiality & data protection).",Additional training as identified by your Data Security Training Needs analysis. ,, 
3.3.2,The organisation has appropriately-qualified cyber security specialist staff and/or service.,"Additional training as identified by your Data Security Training Needs analysis. 

See guidance within [big picture guide 3.](https://www.dsptoolkit.nhs.uk/Help/23)",, 
3.3.3,The organisation has a nominated member of the Cyber Associates Network.,Further details are available on the [NHS Digital website.](https://digital.nhs.uk/services/data-security-centre/cyber-associates-network),, 
3.4.1,Have your SIRO and Caldicott Guardian received appropriate data security and protection training?,"As defined in your organisation's data security and protection training needs analysis.

[Examples of Caldicott Guardian training are available](https://www.ukcgc.uk/learn-and-develop)

[Examples of  SIRO training  are available](https://digital.nhs.uk/cyber-and-data-security/training/specialist-training-for-siros)",, 
3.4.2,All board members have completed appropriate data security and protection training.,"As defined in your organisation's data security and protection training needs analysis.

All Board members are current permanent working board members (for example board members who are sick should not be included).",, 
4.1.1,"Your organisation understands who has access to personal and confidential data through your systems, including any systems which do not support individual logins.","Each system may use its own user list(s) or use federated access. There may be systems where there is no alternative to have individual logins but there are alternative methods of maintaining user lists. Where this occurs, it is understood, and risk assessed by the organisation.",, 
4.1.2,Users in your organisation are only given the minimum access to sensitive information or systems necessary for their role.,"This is to support least privileged access and could be demonstrated through an access control policy or Role-based access control.
 
The policy and/or RBAC have been reviewed since 1 July 2022.",, 
4.2.1,When was the last audit of user accounts with access to the organisation's systems held?,"An audit of staff accounts from your organisation, to make sure there aren't any inappropriate access permissions.

E.g. Request and compare the organisation's leavers list from HR, to its Active Directory (AD) user list to determine if there are any leavers that still have access to the organisation's systems

Record the date when the last user audit was held. This should be completed annually as a minimum.",, 
4.2.2,Provide a summary of data security incidents in the last 12 months caused by a mismatch between user role and system accesses granted.,"This can be an incident either where the staff member's rights to data were too high or too low.  Do not name individuals.

The summary should also include details of whether remediating actions have been implemented.",, 
4.2.3,"Logs are retained for a sufficient period, managed securely, reviewed regularly and can be searched to identify malicious activity.","Organisational policy should set out the rules defining log retention and review. The average time to detect a cyber attack is over three months and it is not uncommon for incidents to take significantly longer to detect. The most important logs for identifying malicious activity should be held for six months as a minimum. 

Organisations should consider the ability to trace an incident end to end e.g. network address translation logs can help organisations trace traffic back to the original source address. Please refer to [National Cyber Security Centre guidance.](https://www.ncsc.gov.uk/files/NCSC_SOC_Feeds.pdf)",, 
4.2.4,Unnecessary user accounts are removed or disabled.,"Former employees', guest and other unnecessary accounts are routinely and promptly removed or disabled from internal workstations, Active Directory domains and other user directories.  Privileged user access is also removed when no longer required or appropriate. This should be included in polices covering access control.",, 
4.3.1,All system administrators have signed an agreement which holds them accountable to the highest standards of use.,"With great power comes great responsibility and all administrators should attest to that responsibility by being signatory to a agreement affirming the highest standard of use.

Your organisation holds documented evidence that systems administrators have been made aware of their increased responsibilities and have signed an enhanced acceptable use policy statement.",, 
4.3.2,"Users, systems and (where appropriate) devices are identified and authenticated prior to being permitted access to information or systems.","Please provide details of your strategy/policy/procedure for authentication, ensuring that the strength of authentication mechanisms are proportionate to the criticality of the systems / information they protect. 

For critical systems you should consider if device authentication is required.",,
4.3.3,All staff have been notified that their system use could be monitored.,Staff are informed and understand that their system use can be monitored and recorded. Staff have been notified in the last twelve months.,,
4.4.1,"The organisation ensures that logs, including privileged account use, are kept securely and only accessible to appropriate personnel. They are stored in a read only format, tamper proof and managed according to the organisation information life cycle policy with disposal as appropriate.","Organisational policy should set out the rules defining log retention, the approach to storage of logs, including details on maintaining the integrity of the logs and offline backup for disaster recovery purposes.

The average time to detect a cyber attack is over three months and it is not uncommon for incidents to take significantly longer to detect. The most important logs for identifying malicious activity should be held for six months as a minimum.

[Guidance from NCSC](https://www.ncsc.gov.uk/guidance/security-operations-centre-soc-buyers-guide) on maintaining security of logs is available. 

Note: you are not expected to purchase a CSOC.",,
4.4.2,"The organisation does not allow users with wide ranging or extensive system privilege to use their highly privileged accounts for high-risk functions, in particular email and web browsing.",Explain how the organisation prohibits privileged users from using their privileged accounts for high risk activities and how this is enforced in the comments section.,,
4.4.3,The organisation only allows privileged access to be initiated from devices owned and managed or assured by your organisation,Where there are any exceptions to this i.e. privileged user access rights have been granted on a non corporate device - please explain the controls in place to formally record and mitigate this risk,,
4.5.1,Your organisation has a password policy giving staff advice on managing their passwords.,"The password policy must cover:
(a) How to avoid choosing obvious passwords (such as those based on easily-discoverable information).
(b) Not to choose common passwords (use of technical means, such as using a password blocklist, is recommended).
(c) No password reuse.
(d) Where and how they may record passwords to store and retrieve them securely.
(e) If password management software is allowed, and if so, which.
(f) Which passwords they really must memorise and not record anywhere.
(g) Assessing risks to ensure systems use appropriate authentication measures e.g. high-strength passwords enforced technically for all users of internet-facing authentication services.",,
4.5.2,Technical controls enforce password policy and mitigate against password-guessing attacks.,Examples of technical controls are [provided by the National Cyber Security Centre.](https://www.ncsc.gov.uk/collection/passwords),,
